Link,Claim,Explanation,Label
https://www.indiatoday.in/fact-check/story/fact-check-shops-caught-fire-due-to-short-circuit-video-shared-as-of-nagaland-violence-1885326-2021-12-08,Video shows an angry mob resorting to arson in Nagaland’s Tuensang after the killing of civilians by security forces.,This video is of a fire that had broken out in Tuensang on December 5 due to short circuit. A few shops were damaged in the blaze. The video is not related to the protests that broke out following the killing of civilians by security forces.,Mostly lies
https://www.indiatoday.in/fact-check/story/controversial-statement-wrongly-attributed-to-priyanka-gandhi-1885284-2021-12-07,"While campaigning in Uttar Pradesh, Priyanka Gandhi has warned that if namaaz on roads are prohibited, the Congress will disallow yoga in parks.","So far, there is no credible report about Priyanka making such a statement during her election campaign in UP. Also, the statement has been in circulation since 2018 and was earlier attributed to only “Congress”.",Absolutely false
https://www.indiatoday.in/fact-check/story/fact-check-1966-incident-police-firing-sadhus-goes-viral-with-exaggerated-claims-1884800-2021-12-06,"On November 7, 1966, hundreds of sadhus and gau rakshaks, who were part of the anti-cow slaughter agitation, were killed in police firing in Delhi at the behest of the Indira Gandhi government.","The incident took place when the agitators’ Parliament march turned violent. Historical documents, including Parliament records and newspaper articles, show eight deaths, including seven agitators and a policeman.",Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-was-there-a-1963-movie-called-the-omicron-variant-no-this-poster-was-created-for-fun-1883522-2021-12-02,This is the poster of a movie named “The Omicron Variant” which was released in 1963.,This is an edited poster that was created using the poster of a 1974 film “Phase IV”. The title “The Omicron Variant” has been added to it. There is no actual movie with this name.,Absolutely false
https://www.indiatoday.in/fact-check/story/fact-check-unverified-information-about-omicron-variant-cause-social-media-panic-1882571-2021-11-30,"The new Omicron variant of coronavirus is deadlier, with higher death rates and often no symptoms. RTPCR tests cannot detect the strain.","WHO has assessed Omicron’s risk levels to be “very high”. However, as per latest reports, it is still uncertain about the transmissibility and severity of the strain. No death due to Omicron has been reported yet and RTPCR tests are still recommended to detect coronavirus.",Mostly lies
https://www.indiatoday.in/fact-check/story/old-picture-from-uttarakhand-shared-as-gujarat-school-1882504-2021-11-30,This dilapidated structure with the roof missing is a government school in Gujarat.,The picture is almost four years old and of a government school in Uttarakhand’s Almora district. The school is in the same condition now.,Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-picture-amit-shah-preamble-viral-wrong-claim-1881914-2021-11-29,Amit Shah is reading the blank reverse side of the Preamble.,This picture was taken during Constitution Day celebrations in Parliament on November 26. The President was reading out the Preamble and other members repeated it after him. The Preamble leaflet has two sides with the text in English and Hindi respectively. Members were reading the Preamble in Hindi.,Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-are-these-uptet-aspirants-sleeping-in-the-open-on-cold-night-1881856-2021-11-28,UPTET aspirants spent the whole night like this in harsh winters and then came to know in the morning that the exam was cancelled.,"This picture is from outside the Congress office in Lucknow where several unemployed youths from Rajasthan had come to meet Priyanka Gandhi on November 27. Failing to do so, they spent the night outside in protest.",Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-this-man-did-not-attack-an-airline-ceo-for-mandating-covid-vaccine-1881492-2021-11-27?utm_source=twshare&utm_medium=socialicons&utm_campaign=shareurltracking,A man publicly puts pie on the face of an airline CEO who mandated the Covid vaccine for all his employees.,This is a 2017 video from Australia and is unrelated to the pandemic or Covid vaccines. The man puts pie into the face of an airline CEO because the latter supports same-sex marriage.,Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-this-viral-vandalism-video-is-not-reaction-to-farm-laws-getting-scrapped-1881194-2021-11-26,Vandalism has begun after the withdrawal of farm laws was announced.,"The video was shot in Karnal, Haryana on January 10, 2021, when Chief Minister Manohar Lal Khattar was to attend a Kisan Mahapanchayat. But he had to cancel the programme as agitating farmers flung chairs, tore banners and vandalised the venue demanding scrapping of the farm laws. This is not a recent video.",Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-image-of-beijing-airport-passed-off-as-complete-look-of-noida-airport-1880764-2021-11-25?utm_source=twshare&utm_medium=socialicons&utm_campaign=shareurltracking,This is how the Noida international airport would look like upon completion.,"This is the Beijing Daxing International Airport in China. Meanwhile, Prime Minister Narendra Modi on November 25 laid the foundation stone of the Noida international airport at Jewar.",Half True
https://www.indiatoday.in/fact-check/story/fact-check-kiwis-welcomed-with-saffron-scarves-in-kanpur-this-is-an-old-picture-1880413-2021-11-24,New Zealand cricketers were greeted with saffron scarves upon their arrival in Kanpur for the first Test.,"The viral picture is from October 2017 when the Black Caps reached Kanpur to play the third ODI of a bilateral series. Saffron scarves were kept at the entrance of their hotel this time too, but were not used to greet the players.",Half True
https://www.indiatoday.in/fact-check/story/fact-check-netizens-score-a-self-goal-pass-off-soccer-fan-march-as-anti-lockdown-protest-1880446-2021-11-24,Video shows people in Austria protesting against the renewed lockdown.,"Though Austria is witnessing protests against renewed lockdown, this picture shows supporters of German football team Borussia Mönchengladbach marching down a street in Austria’s Graz in 2019.",Half True
https://www.indiatoday.in/fact-check/story/fact-check-this-morphed-image-of-mount-fuji-clouds-the-truth-1880072-2021-11-23,Lenticular clouds over Mount Fuji in Japan. ,"This is a photoshopped picture. The actual image was taken by one Raymond R Carr in 2005. In the actual image, only one layer of lenticular cloud can be seen. The other layers have been digitally added in the viral image. ",Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-viral-photo-poster-tipu-sultan-tiger-mysore-chhatrapati-shivaji-maratha-king-1879713-2021-11-22,"On his birth anniversary, this picture of Tipu Sultan reminds us of his valiance against British colonialism.",The viral picture is morphed. The original picture is of Chhatrapati Shivaji with his horse. The Shivaji poster has been up for sale on several e-commerce websites for long.,Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-haryana-roadways-to-paint-its-buses-red-not-quite-1879299-2021-11-21,Haryana Roadways buses will now be painted in red! Here’s the new look.,Haryana Roadways has no plans of changing the colour of its white-and-blue buses. It already has some red Volvos in its fleet for deluxe services.,Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-manipur-ambush-col-viplav-tripathi-viral-photos-videos-1879039-2021-11-20?utm_source=twshare&utm_medium=socialicons&utm_campaign=shareurltracking,"Photos show the site of the Manipur ambush by militants that killed Colonel Viplav Tripathi, his family, and four other soldiers.","While the first photo is from a 2015 militant attack in Manipur, the second image is from a territorial fight between villagers straddling the states of Assam and Nagaland.",Half True
https://www.indiatoday.in/fact-check/story/vir-das-vir-abdullah-das-morphed-wiki-page-screenshot-viral-actor-us-gig-1878329-2021-11-18,This is a screenshot of actor-comedian Vir Das’s Wikipedia page which shows that his real name is Vir Abdullah Das.,The screenshot is of his edited Wikipedia page. His actual name is Vir Das and he is a Hindu.,Absolutely false
https://www.indiatoday.in/fact-check/story/fact-check-fight-woman-flight-crew-unvaccinated-passenger-covid-1877415-2021-11-16,Video of a fight between a woman and the flight crew over the former refusing to sit beside her unvaccinated co-passenger.,The video does not show a real incident. It is a short film titled “Covid Flight”.,Absolutely false
https://www.indiatoday.in/fact-check/story/fact-check-stunning-artwork-shared-as-sunset-on-earth-as-seen-from-space-1877090-2021-11-15,This is what sunset on Earth looks like from space.,This image is a still taken from a computer-generated stock video that shows sunrise from space. The video was created by a German artist. Even NASA has denied that they’ve released the image.,Absolutely false
https://www.indiatoday.in/fact-check/story/fact-check-no-pak-cricketer-hasan-ali-s-house-was-not-attacked-after-t20-world-cup-defeat-1876442-2021-11-14,"After Pakistan’s defeat to Australia in the ICC T20 World Cup semifinal, stones were thrown at the house of Pak cricketer Hasan Ali for dropping a catch that allowed Matthew Wade to ensure Australia’s thrilling victory.",Sources from Hasan’s family and local journalists from Pakistan confirmed to AFWA that the claim is false. The photo of the house with the broken window glass is from an October 2021 incident in Karnataka.,Absolutely false
https://www.indiatoday.in/fact-check/story/fact-check-aussie-did-not-cheer-for-india-after-australia-beat-pak-t20-world-cup-1876187-2021-11-12?utm_source=twshare&utm_medium=socialicons&utm_campaign=shareurltracking,An Australian fan chanting 'Bharat Maata ki Jai' and 'Vande Mataram' after Australia defeated Pakistan by five wickets in the T20 World Cup at Dubai.,"This video is from the January 2021 edition of the Border-Gavaskar Trophy, a Test cricket series played between India and Australia. The series was held at the Gabba stadium in Brisbane.",Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-why-daughter-cant-marry-poor-man-explainers-falsely-pinned-on-musk-gates-1875783-2021-11-12,Tesla CEO Elon Musk has said his daughter can never marry a person who does not have the ability to create wealth.,"Musk has not given such a statement. Financial quotes borrowed from various videos and articles have been stitched together and falsely attributed to him. Also, Musk does not have a daughter.",Absolutely false
https://www.indiatoday.in/fact-check/story/cooked-up-quote-attributed-ricky-ponting-take-dig-team-india-1875369-2021-11-10,"Former Australian cricketer Ricky Ponting has taken a dig at India’s early exit from the T20 World Cup, saying money cannot buy success and Pakistan has proved that.",It is a cooked-up statement. Ponting has made no such remarks.,Absolutely false
https://www.indiatoday.in/fact-check/story/who-is-the-boss-of-the-universe-surely-not-this-piece-of-art-1874955-2021-11-10,"Image of BOSS, the largest structure in the universe discovered so far.",This is a computer-generated artwork that shows the distribution of galaxies in the universe.,Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-social-media-tata-twist-to-air-india-s-bhangra-moves-1874506-2021-11-09,Video of celebrations inside aircraft before Tata Air India’s first flight took off from India to Canada.,"This video is from 2018 when Air India resumed flights between Birmingham, United Kingdom, and Amritsar after eight years.",Absolutely false
https://www.indiatoday.in/fact-check/story/fact-check-video-garbage-floating-waterlogging-1874465-2021-11-08,Video shows garbage floating around a waterlogged market in Chennai after heavy rainfall.,"Though several parts of Tamil Nadu, including Chennai, have been affected with intense rainfall and waterlogging, this particular video is from Sadar Bazaar in New Delhi when the Capital witnessed heavy downpour a couple of months back.",Half True
https://www.indiatoday.in/fact-check/story/fact-check-virat-kohli-did-not-ask-afghan-captain-to-choose-bowling-after-toss-in-a-t20-match-1873543-2021-11-05?utm_source=twshare&utm_medium=socialicons&utm_campaign=shareurltracking,This video shows the Indian cricket captain Virat Kohli asking his Afghan counterpart Mohammad Nabi to choose bowling after the latter won the toss in the match held on November 3 between the two countries in the T20 World Cup 2021. This is evidence of match-fixing between India and Afghanistan.,"In the video, after winning the toss, Nabi says, “We will bowl first”, not Kohli. According to the T20 World Cup playing conditions, the captain of the side winning the toss shall decide whether to bat or to field and notify the opposing captain and the umpires of his decision.",Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-netizens-falsely-link-india-t20-rout-with-image-of-youth-smashing-tv-1872554-2021-11-02,Picture shows a 17-year-old youth from Uttar Pradesh smashing his TV after India's defeat to New Zealand in the T20 World Cup.,The picture is from 2017 when India lost to Pakistan in the Champions Trophy final and some TV sets were smashed on the streets of Ahmedabad.,Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-can-you-get-electrocuted-through-geyser-well-better-be-safe-than-sorry-1872464-2021-11-02,One should never take a shower while the geyser is on. This can lead to the person getting electrocuted.,"Though such incidents have been reported, they are rare and occur only when the earthing or geyser parts are faulty. However, geysers these days are equipped with advanced safety features.",Half True
https://www.indiatoday.in/fact-check/story/fact-check-has-india-never-won-against-new-zealand-in-any-icc-event-1872132-2021-11-01,India has never beaten New Zealand in ICC events.,"India has played three T20 World Cup matches against New Zealand and lost all of them. But in the 50-over format, India has won three of the eight matches against New Zealand – two in 1987 and one in the 2003 World Cup.",Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-indira-over-shivaji-why-social-media-flak-for-uddhav-is-misplaced-1872170-2021-11-01,Shiv Sena chief Uddhav Thackeray has insulted Marathi icon Chhatrapati Shivaji by putting a wooden plank on his portrait to accommodate Indira Gandhi’s picture.,The picture was clicked on October 31 at Uddhav’s residence-cum-office. Indira Gandhi’s photograph was kept on a wooden stand away from the wall and it wasn’t covering Shivaji’s portrait either. The angle of the picture has confused netizens.,Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-false-statement-attributed-to-dr-devi-shetty-on-puneeth-rajkumar-s-death-goes-viral-1871800-2021-11-01,"After Kannada superstar Puneeth Rajkumar’s death, Dr Devi Shetty said he died because of “doing too much to be fit”. Everything should be done in moderation, Dr Shetty advised.",The viral statement has been wrongly attributed to Dr Shetty. His office has called the message “fake”.,Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-netizens-drive-on-the-wrong-side-of-facts-on-pm-modi-s-italy-tour-1871797-2021-10-31,"Prime Minister Narendra Modi humiliated in Italy, had to take a taxi for his trips.",The picture is morphed. The original image tweeted by ANI does not have the ‘taxi’ logo on PM Modi’s vehicle. The picture was captured on October 30 while the PM was leaving Vatican City after meeting Pope Francis.,Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-wankhede-led-ncb-team-attacked-by-mob-in-goregaon-this-is-an-old-incident-1869789-2021-10-27,"A team of six NCB officials led by Sameer Wankhede was recently attacked by a mob of 60 people in Goregaon, Mumbai.",The incident took place last year. No such incident has occurred in Goregaon recently.,Mostly lies
https://www.indiatoday.in/fact-check/story/punjab-cm-channi-old-photo-on-electricity-pole-1868048-2021-10-22?utm_source=twshare&utm_medium=socialicons&utm_campaign=shareurltracking,Punjab CM Charanjit Singh Channi climbed a pole and fixed the power supply of Kurali area after getting complaints that electricity was disconnected in poor households due to non-payment of bills. ,"The incident is from 2016, before Channi became the Punjab CM. Channi had climbed a pole to reconnect the power supply to the waterworks at Rupnagar's Sihon Majra village. The power supply of the waterworks was allegedly disconnected due to non-payment of electricity bills.",Half True
https://www.indiatoday.in/fact-check/story/fact-check-amit-shah-did-not-rename-andaman-nicobar-islands-after-netaji-1867219-2021-10-20?utm_source=twshare&utm_medium=socialicons&utm_campaign=shareurltracking,Union Home minister Amit Shah has renamed Andaman and Nicobar Islands as Netaji Subhas Chandra Bose Islands.,"Shah did not rename the Union territory after Netaji. However, in 2018, Prime Minister Narendra Modi had renamed Ross Island, one of the islands in the archipelago, as Netaji Subhas Chandra Bose Island.",Half True
https://www.indiatoday.in/fact-check/story/conspiracy-theory-facebook-outage-linked-zuckerberg-crypto-ambitions-1862063-2021-10-07,"This is what Mark Zuckerberg said after the six-hour global outage of Facebook, Instagram and WhatsApp. The downtime was planned because they wanted to enter the cryptocurrency business.","This is part of Zuckerberg’s speech at Georgetown University, United States, in October 2019. He was speaking about freedom of expression on social media. Facebook has blamed faulty configuration behind the recent outage. The viral clip is edited and a graphics on cryptocurrency overlaid on it.",Mostly lies
https://www.indiatoday.in/fact-check/story/netizens-blame-chinese-hacker-for-facebook-outage-1861682-2021-10-06?utm_source=twshare&utm_medium=socialicons&utm_campaign=shareurltracking,"According to Reuters, a 13-year-old Chinese hacker named Sun Jisu is behind the recent Facebook outage.",Neither Reuters nor any other credible media outlet has claimed that Facebook was hacked. The social networking platform has said a faulty configuration led to the outage.,Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-curious-case-of-missing-bjp-from-varun-gandhi-twitter-bio-1860703-2021-10-04,Pilibhit Lok Sabha MP Varun Gandhi has removed “BJP” from his Twitter bio. This indicates that he may leave the BJP soon.,Varun Gandhi’s Twitter bio did not have the word “BJP” for the last seven years. The last time it was seen was way back in October 2014.,Mostly lies
https://www.indiatoday.in/fact-check/story/covid-dangerous-common-flu-norway-reclassify-disease-1860350-2021-10-04,"Norway has reclassified Covid-19, saying it’s no more dangerous than common flu.","With dip in cases, Norway has lifted Covid restrictions in the country. But it has not reclassified the disease or said that it is “no more dangerous than ordinary flu”. The claim is a distortion of a comment given by a health official to a local tabloid.",Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-yohani-manike-mage-hithe-cultural-envoy-india-sri-lanka-fake-news-1858893-2021-09-29,"Yohani De Silva, the Sri Lankan singer who has won the hearts of Indians with her song “Manike Mage Hithe”, has been appointed the cultural ambassador between the two countries by the Indian High Commission in Colombo.",The Indian High Commission in Sri Lanka had praised Yohani for the song and termed her the “newest cultural ambassador”. But it was misinterpreted by netizens. It was only a praise and there has been no official appointment.,Half True
https://www.indiatoday.in/fact-check/story/fact-check-rakesh-tikait-threat-to-media-houses-is-not-what-it-seems-1858372-2021-09-28,Rakesh Tikait has openly threatened media houses saying they are the next targets. The farmers’ leader has asked media to either support the agitation or face consequences. ,"The video is edited. In the longer version of the video, Tikait is heard referring to the Centre’s policies towards farmers. He said the government’s next target could be media houses and called upon them to join the protests. ",Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-not-subramanian-swamy-attending-opposition-leaders-meeting-1857298-2021-09-26?utm_source=twshare&utm_medium=socialicons&utm_campaign=shareurltracking,Subramanian Swamy spotted at a press briefing of the Opposition parties and has officially joined them.,"The man in the image is Congress leader Manish Chatrath, who is currently the AICC in-charge of Arunachal Pradesh and Meghalaya.",Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-qr-code-graveyard-japan-1853260-2021-09-15,"These graves in Japan are equipped with QR codes, scanning which one can get information about the deceased’s life.","This is a theme park in Southwest China. Visitors can scan the QR codes to commemorate victims of the Nanjing Massacre and Bombing of Chongqing, both committed by Japanese troops in China during World War II.",Mostly lies
https://www.aajtak.in/fact-check/story/up-election-akhilesh-yadav-aparna-yadav-viral-post-ntc-1397591-2022-01-22,"Former UP CM Akhilesh Yadav has said through a tweet that BJP may have taken the ""Bahu"" of SP, but it will not be able to defeat SP.",The viral tweet in the name of Akhilesh Yadav was made in a fake manner. Akhilesh has not given any such statement about Aparna Yadav.,Absolutely false
https://malayalam.indiatoday.in/fact-check/story/fact-check-can-hot-coconut-water-cure-cancer-336224-2022-01-22,Hot coconut water can kill cancer cells: Tata Memorial Hospital Message from Rajendra Badway.,"Tata Memorial Hospital Director Dr. Hospital officials said Rajendra Badway had not given such a message. Moreover, it has no scientific basis. Experts also warn cancer patients to drink only soft drinks as prescribed by a doctor.",Absolutely false
https://www.aajtak.in/fact-check/story/corona-zoom-meeting-mask-compulsory-mail-viral-fact-check-ntc-1390095-2022-01-10,This email was sent to an employee by his boss. It states that it is mandatory to wear a mask during the zoom meeting of the office. ,This is a fictitious email posted as a satire by a TikTok user. Later some people took it for real. ,Absolutely false
https://www.aajtak.in/fact-check/story/fact-check-akhilesh-yadav-worshiped-parashuram-taking-off-shoes-photo-misleading-claim-viral-ntc-1386839-2022-01-05??????Vfvdvdv,Former UP CM Akhilesh Yadav worshiped Lord Parshuram wearing shoes in Lucknow.,Akhilesh did not wear shoes while worshiping Lord Parashuram. The black thing seen in Akhilesh's feet in the picture are socks. ,Mostly lies
https://www.aajtak.in/fact-check/story/punjab-election-sonu-sood-congress-join-viral-pic-fact-check-ntc-1390844-2022-01-12,Actor and social worker Sonu Sood has joined the Congress party. ,Sonu Sood's sister Malvika Sood has joined the Congress and not himself. ,Mostly lies
https://www.aajtak.in/fact-check/story/plane-crash-video-shocking-viral-reality-check-fact-check-ntc-1389461-2022-01-09,It can be seen in the video how an airplane carrying passengers in Indonesia narrowly escaped from the crash. ,This is not a video of a real plane crash. It is made with the help of computer software. ,Absolutely false
